"Town","FIPS","Year","Abused Substance","Outcome","Measure Type","Variable","Value"
"Chaplin",901513810,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Cheshire",900914160,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Chester",900714300,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Clinton",900715350,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Colchester",901115910,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Colebrook",900516050,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Columbia",901316400,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Connecticut",9,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",55
"Cornwall",900517240,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Coventry",901317800,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Cromwell",900718080,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Danbury",900118500,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Darien",900118850,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Deep River",900719130,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Derby",900919550,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Durham",900720810,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Granby",900322070,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Haddam",900722280,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Hampton",900722490,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Hartford",900322630,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Haven",900922910,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Lyme",901123400,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Windsor",900324800,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Eastford",901521860,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Easton",900123890,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ellington",901325360,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Enfield",900325990,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Essex",900726270,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Fairfield",900126620,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Farmington",900327600,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Franklin",901129910,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Glastonbury",900331240,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Goshen",900532290,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Granby",900332640,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Greenwich",900133620,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Griswold",901133900,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Groton",901134250,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Guilford",900934950,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Haddam",900735230,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Hamden",900935650,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Hampton",901536000,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Hartford",900337070,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Hartland",900337140,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Harwinton",900537280,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Hebron",901337910,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Kent",900540290,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Killingly",901540500,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Killingworth",900740710,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lebanon",901142390,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ledyard",901142600,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Lisbon",901143230,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Litchfield",900543370,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lyme",901144210,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Madison",900944560,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Manchester",900344700,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Mansfield",901344910,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Marlborough",900345820,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Meriden",900946520,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Middlebury",900946940,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Middlefield",900747080,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Middletown",900747360,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Milford",900947535,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Monroe",900148620,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Montville",901148900,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Morris",900549460,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Naugatuck",900949950,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Britain",900350440,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Canaan",900150580,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Fairfield",900150860,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Hartford",900551350,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Haven",900952070,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"New London",901152350,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Milford",900552630,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Newington",900352140,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Newtown",900152980,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Norfolk",900553470,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"North Branford",900953890,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"North Canaan",900554030,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"North Haven",900954870,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"North Stonington",901155500,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Norwalk",900156060,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Norwich",901156270,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Old Lyme",901157040,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Old Saybrook",900757320,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Orange",900957600,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Oxford",900958300,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Plainfield",901559980,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Plainville",900360120,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Plymouth",900560750,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Pomfret",901561030,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Portland",900761800,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Preston",901162150,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Prospect",900962290,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Putnam",901562710,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Redding",900163480,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ridgefield",900163970,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Rocky Hill",900365370,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Roxbury",900565930,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Salem",901166210,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Salisbury",900566420,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Scotland",901567400,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Seymour",900967610,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Sharon",900567960,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Shelton",900168170,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Sherman",900168310,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Simsbury",900368940,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Somers",901369220,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"South Windsor",900371390,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Southbury",900969640,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Southington",900370550,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Sprague",901171670,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stafford",901372090,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stamford",900173070,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Sterling",901573420,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stonington",901173770,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stratford",900174190,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Suffield",900374540,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Thomaston",900575730,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Thompson",901575870,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Tolland",901376290,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Torrington",900576570,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Trumbull",900177200,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Union",901377830,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Vernon",901378250,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Voluntown",901178600,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wallingford",900978740,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Warren",900579510,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Washington",900579720,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Waterbury",900980070,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Waterford",901180280,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Watertown",900580490,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"West Hartford",900382590,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"West Haven",900982870,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Westbrook",900781680,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Weston",900183430,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Westport",900183500,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wethersfield",900384900,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Willington",901385950,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Wilton",900186370,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Winchester",900586440,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Windham",901586790,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Windsor",900387000,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Windsor Locks",900387070,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wolcott",900987560,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodbridge",900987700,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Woodbury",900587910,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodstock",901588190,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lower Fairfield County Regional Action Council",9000000000011,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Mid-Fairfield Substance Abuse Coalition",9000000000012,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Regional Youth/Adult Social Action Project",9000000000014,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",4
"South Central CT Substance Abuse Council",9000000000015,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Greater Valley Substance Abuse Action Council",9000000000016,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",10
"Middlesex County Substance Abuse Action Council",9000000000017,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",5
"Northeast Communities Against Substance Abuse",9000000000018,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",5
"Southeastern Regional Action Council",9000000000019,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"East of the River Action for Substance Elimination",9000000000020,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",4
"Capitol Area Substance Abuse Council",9000000000021,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",7
"Substance Abuse Action Council",9000000000022,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Housatonic Valley Coalition Against Substance Abuse",9000000000023,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Central Naugatuck Valley Regional Action Council",9000000000024,2010,"Drugs","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Andover",901301080,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Ansonia",900901220,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Ashford",901501430,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Avon",900302060,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Barkhamsted",900502760,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Beacon Falls",900903250,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",19.06
"Berlin",900304300,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",10.98
"Bethany",900904580,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bethel",900104720,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bethlehem",900504930,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bloomfield",900305910,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bolton",901306260,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bozrah",901106820,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Branford",900907310,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",3.49
"Bridgeport",900108070,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bridgewater",900508210,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Bristol",900308490,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",3.33
"Brookfield",900108980,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Brooklyn",901509190,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Burlington",900310100,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",12.21
"Canaan",900510940,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Canterbury",901512130,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Canton",900312270,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",11.31
"Chaplin",901513810,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Cheshire",900914160,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Chester",900714300,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Clinton",900715350,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Colchester",901115910,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Colebrook",900516050,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Columbia",901316400,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Connecticut",9,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",1.67
"Cornwall",900517240,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Coventry",901317800,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Cromwell",900718080,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Danbury",900118500,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Darien",900118850,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Deep River",900719130,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Derby",900919550,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Durham",900720810,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"East Granby",900322070,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",21.07
"East Haddam",900722280,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"East Hampton",900722490,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",7.49
"East Hartford",900322630,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"East Haven",900922910,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"East Lyme",901123400,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",5.52
"East Windsor",900324800,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Eastford",901521860,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Easton",900123890,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Ellington",901325360,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Enfield",900325990,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Essex",900726270,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Fairfield",900126620,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",1.74
"Farmington",900327600,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Franklin",901129910,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Glastonbury",900331240,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",6.27
"Goshen",900532290,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Granby",900332640,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",9.66
"Greenwich",900133620,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Griswold",901133900,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Groton",901134250,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",2.51
"Guilford",900934950,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Haddam",900735230,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Hamden",900935650,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Hampton",901536000,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Hartford",900337070,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",4.11
"Hartland",900337140,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Harwinton",900537280,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Hebron",901337910,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",11.61
"Kent",900540290,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",69.98
"Killingly",901540500,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Killingworth",900740710,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Lebanon",901142390,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Ledyard",901142600,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Lisbon",901143230,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Litchfield",900543370,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Lyme",901144210,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Madison",900944560,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Manchester",900344700,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",1.83
"Mansfield",901344910,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Marlborough",900345820,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",35.03
"Meriden",900946520,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Middlebury",900946940,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Middlefield",900747080,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Middletown",900747360,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Milford",900947535,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Monroe",900148620,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Montville",901148900,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Morris",900549460,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Naugatuck",900949950,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"New Britain",900350440,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",2.8
"New Canaan",900150580,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"New Fairfield",900150860,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"New Hartford",900551350,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",16.43
"New Haven",900952070,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",2.43
"New London",901152350,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"New Milford",900552630,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Newington",900352140,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",3.41
"Newtown",900152980,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",7.99
"Norfolk",900553470,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"North Branford",900953890,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"North Canaan",900554030,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"North Haven",900954870,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"North Stonington",901155500,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Norwalk",900156060,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",1.21
"Norwich",901156270,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",2.77
"Old Lyme",901157040,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Old Saybrook",900757320,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Orange",900957600,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Oxford",900958300,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",10.18
"Plainfield",901559980,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
"Plainville",900360120,2002,"Drugs","Motor vehicle accident fatalities","Rate (per 100,000)","Motor Vehicle",0
